transaction_id,customer_id,transaction_time,amount,payment_method,customer_success_rate,previous_failed_attempts,is_new_device,status,failure_reason,recovered
TXN000001,CUST00103,2026-03-23 06:26:00,1631.69,UPI,0.81,2,0,Success,None,0
TXN000002,CUST00420,2026-08-03 23:48:00,981.8,Card,0.41,4,0,Failed,Authentication Failed,1
TXN000003,CUST00123,2026-03-26 17:01:00,1370.91,UPI,0.8,0,0,Failed,Expired Card,0
TXN000004,CUST02299,2026-03-22 06:14:00,2461.22,UPI,0.88,1,1,Failed,Authentication Failed,1
TXN000005,CUST00027,2026-05-04 21:09:00,694.29,Net Banking,0.67,1,1,Success,None,0
TXN000006,CUST00637,2026-02-07 05:07:00,523.6,Net Banking,0.5,1,0,Success,None,0
TXN000007,CUST01557,2026-11-05 13:31:00,778.65,UPI,0.56,0,0,Success,None,0
TXN000008,CUST02473,2026-09-23 16:29:00,605.51,Net Banking,0.85,2,0,Failed,Authentication Failed,1
TXN000009,CUST01551,2026-10-29 23:26:00,709.45,UPI,0.73,0,0,Failed,Expired Card,1
TXN000010,CUST02365,2026-01-17 16:25:00,1198.39,Net Banking,0.96,1,0,Success,None,0
TXN000011,CUST01186,2026-11-12 11:26:00,678.44,Card,0.37,0,0,Success,None,0
TXN000012,CUST01557,2026-08-20 10:41:00,2340.11,UPI,0.61,2,1,Failed,Network Error,1
TXN000013,CUST01517,2026-09-02 00:04:00,2117.59,Card,0.52,2,0,Success,None,0
TXN000014,CUST02875,2026-07-14 11:23:00,412.95,Net Banking,0.68,0,0,Success,None,0
TXN000015,CUST00670,2026-04-09 06:50:00,1979.84,Card,0.36,3,1,Failed,Expired Card,1
TXN000016,CUST02805,2026-03-25 09:27:00,1257.77,Card,0.53,2,0,Success,None,0
TXN000017,CUST01293,2026-01-25 02:21:00,2036.44,UPI,0.55,3,0,Failed,Bank Timeout,1
TXN000018,CUST00871,2026-11-19 02:28:00,713.0,Net Banking,0.4,3,1,Success,None,0
TXN000019,CUST00586,2026-03-31 19:03:00,638.08,Wallet,0.3,2,0,Success,None,0
TXN000020,CUST02395,2026-05-12 19:10:00,1788.87,Net Banking,0.79,3,1,Success,None,0
TXN000021,CUST00567,2026-02-03 02:22:00,560.39,Card,0.9,4,1,Success,None,0
TXN000022,CUST00450,2026-10-16 09:17:00,856.31,UPI,0.53,1,0,Failed,Authentication Failed,1
TXN000023,CUST01577,2026-07-12 15:28:00,2817.97,UPI,0.75,3,1,Success,None,0
TXN000024,CUST02267,2026-09-06 04:52:00,534.55,Net Banking,0.63,0,0,Failed,Expired Card,0
TXN000025,CUST02626,2026-04-17 20:38:00,1464.28,Net Banking,0.84,2,0,Success,None,0
TXN000026,CUST00648,2026-09-20 21:44:00,3753.44,Wallet,0.67,3,0,Success,None,0
TXN000027,CUST02051,2026-11-13 22:42:00,1175.72,Net Banking,0.52,1,0,Success,None,0
TXN000028,CUST02618,2026-02-25 15:31:00,863.33,Net Banking,0.94,4,0,Failed,Network Error,1
TXN000029,CUST02210,2026-08-07 01:39:00,583.24,Card,0.35,4,0,Failed,Network Error,1
TXN000030,CUST00080,2026-11-16 22:23:00,1988.17,Wallet,0.95,0,0,Success,None,0
TXN000031,CUST00981,2026-11-16 16:09:00,2280.89,Net Banking,0.86,0,0,Success,None,0
TXN000032,CUST00351,2026-10-04 22:14:00,1426.53,UPI,0.92,3,0,Success,None,0
TXN000033,CUST00526,2026-04-07 12:06:00,625.38,Card,0.46,3,0,Failed,Expired Card,0
TXN000034,CUST00868,2026-09-17 13:50:00,843.76,Wallet,0.9,4,0,Failed,Network Error,1
TXN000035,CUST02752,2026-11-24 12:56:00,353.44,Wallet,0.38,2,1,Failed,Expired Card,0
TXN000036,CUST00496,2026-01-24 07:28:00,783.27,Wallet,0.53,1,0,Success,None,0
TXN000037,CUST00087,2026-08-03 05:52:00,515.72,Net Banking,0.98,4,0,Success,None,0
TXN000038,CUST00030,2026-03-25 08:31:00,3371.68,Card,0.48,0,0,Success,None,0
TXN000039,CUST00129,2026-07-07 04:45:00,464.97,UPI,0.33,2,0,Success,None,0
TXN000040,CUST01141,2026-07-16 07:53:00,495.68,Card,0.65,3,0,Failed,Bank Timeout,1
TXN000041,CUST00996,2026-03-11 07:49:00,940.22,Wallet,0.4,3,1,Failed,Insufficient Funds,0
TXN000042,CUST02700,2026-06-04 05:17:00,1395.82,UPI,0.47,3,0,Success,None,0
TXN000043,CUST01913,2026-01-23 01:38:00,589.77,Wallet,0.81,0,0,Success,None,0
TXN000044,CUST02983,2026-04-01 12:47:00,2035.53,Wallet,0.74,2,0,Success,None,0
TXN000045,CUST00780,2026-02-21 00:55:00,542.12,Card,0.88,4,1,Failed,Authentication Failed,1
TXN000046,CUST01141,2026-11-15 09:22:00,1166.21,Card,0.33,3,0,Success,None,0
TXN000047,CUST01816,2026-01-19 10:02:00,317.18,UPI,0.75,4,0,Failed,Expired Card,0
TXN000048,CUST00383,2026-05-28 23:18:00,1158.46,UPI,0.57,1,0,Success,None,0
TXN000049,CUST01972,2026-11-25 13:39:00,803.83,Wallet,0.38,1,1,Success,None,0
TXN000050,CUST00675,2026-05-23 03:33:00,540.01,UPI,0.91,3,0,Failed,Network Error,1
TXN000051,CUST01169,2026-02-26 08:38:00,1315.49,Wallet,0.67,3,1,Failed,Bank Timeout,1
TXN000052,CUST00892,2026-09-30 07:54:00,3120.39,Net Banking,0.93,0,0,Success,None,0
TXN000053,CUST00235,2026-07-03 01:58:00,346.53,Net Banking,0.54,0,1,Success,None,0
TXN000054,CUST00233,2026-11-06 23:08:00,2842.91,Card,0.93,4,0,Success,None,0
TXN000055,CUST00281,2026-09-03 20:05:00,1797.43,Card,0.36,4,0,Failed,Bank Timeout,0
TXN000056,CUST00492,2026-07-30 18:40:00,2903.45,Wallet,0.72,4,0,Failed,Expired Card,0
TXN000057,CUST02537,2026-08-28 08:12:00,1261.26,UPI,0.78,0,1,Success,None,0
TXN000058,CUST01069,2026-03-28 21:40:00,414.27,Net Banking,0.46,1,0,Success,None,0
TXN000059,CUST01622,2026-06-16 11:17:00,601.28,Net Banking,0.82,1,0,Success,None,0
TXN000060,CUST00298,2026-08-15 03:46:00,443.93,Net Banking,0.89,0,1,Success,None,0
TXN000061,CUST00301,2026-07-04 04:29:00,547.79,UPI,0.56,4,0,Failed,Network Error,1
TXN000062,CUST01430,2026-05-15 12:58:00,1232.36,Card,0.98,0,0,Success,None,0
TXN000063,CUST00647,2026-08-11 16:55:00,1368.34,Net Banking,0.86,3,0,Success,None,0
TXN000064,CUST02736,2026-12-06 05:48:00,2125.47,UPI,0.7,4,0,Success,None,0
TXN000065,CUST00551,2026-11-20 22:25:00,1809.01,UPI,0.5,2,0,Failed,Insufficient Funds,0
TXN000066,CUST01116,2026-09-19 06:35:00,552.4,Card,0.42,2,0,Success,None,0
TXN000067,CUST00834,2026-04-02 10:19:00,992.96,Net Banking,0.98,2,1,Success,None,0
TXN000068,CUST00379,2026-01-17 01:14:00,1982.81,UPI,0.9,3,0,Failed,Insufficient Funds,1
TXN000069,CUST00536,2026-09-27 20:58:00,767.23,Net Banking,0.42,2,0,Success,None,0
TXN000070,CUST02260,2026-02-10 17:34:00,2175.73,Wallet,0.96,3,0,Success,None,0
TXN000071,CUST02831,2026-10-31 20:48:00,540.73,UPI,0.73,1,0,Success,None,0
TXN000072,CUST02386,2026-06-06 11:32:00,1240.14,Net Banking,0.4,4,0,Success,None,0
TXN000073,CUST00172,2026-11-24 07:25:00,1460.06,Card,0.79,2,0,Success,None,0
TXN000074,CUST01466,2026-08-31 19:45:00,1717.5,UPI,0.55,1,0,Success,None,0
TXN000075,CUST01449,2026-08-14 23:25:00,1655.78,UPI,0.91,4,1,Success,None,0
TXN000076,CUST00970,2026-11-17 21:55:00,1654.13,Card,0.66,1,0,Success,None,0
TXN000077,CUST00102,2026-10-12 20:35:00,1731.45,Wallet,0.79,1,0,Success,None,0
TXN000078,CUST02744,2026-02-27 23:05:00,2720.18,Wallet,0.92,1,0,Success,None,0
TXN000079,CUST01567,2026-03-22 23:39:00,590.95,UPI,0.7,0,1,Failed,Bank Timeout,1
TXN000080,CUST01433,2026-03-23 03:56:00,907.37,Wallet,0.68,2,0,Failed,Insufficient Funds,0
TXN000081,CUST01633,2026-11-11 16:49:00,751.79,Card,0.39,2,0,Success,None,0
TXN000082,CUST01144,2026-09-05 09:43:00,2620.6,UPI,0.84,2,1,Failed,Expired Card,0
TXN000083,CUST00114,2026-03-07 00:20:00,7414.77,Net Banking,0.75,0,0,Success,None,0
TXN000084,CUST00157,2026-05-06 20:39:00,4792.13,Net Banking,0.98,0,1,Success,None,0
TXN000085,CUST01788,2026-05-21 05:53:00,2536.18,Net Banking,0.49,4,0,Failed,Expired Card,0
TXN000086,CUST01044,2026-01-01 14:46:00,663.24,Card,0.32,0,1,Success,None,0
TXN000087,CUST01492,2026-12-12 11:23:00,1642.52,Card,0.59,3,0,Failed,Network Error,1
TXN000088,CUST02718,2026-07-04 15:18:00,2192.08,Net Banking,0.48,0,0,Success,None,0
TXN000089,CUST02732,2026-05-27 12:13:00,2336.26,Net Banking,0.5,3,0,Success,None,0
TXN000090,CUST02271,2026-06-03 01:54:00,3020.34,Net Banking,0.82,1,0,Success,None,0
TXN000091,CUST02775,2026-05-28 20:20:00,379.38,Wallet,0.47,1,0,Success,None,0
TXN000092,CUST01245,2026-06-06 12:25:00,4793.29,UPI,0.83,2,0,Failed,Expired Card,1
