transaction_id,amount,failure_reason,ml_recovery_probability,ai_recommended_action,approved_action,guardrail_reason,simulated_recovery_probability,simulated_recovered,execution_type,decision_status,processed_at,timestamp,previous_failed_attempts,ai_recommendation,ai_priority,ai_fallback_used,guardrail_decision,action_executed,recovery_result,revenue_rescued
TXN000002,981.8,Authentication Failed,0.4246,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000003,1370.91,Expired Card,0.2343,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000004,2461.22,Authentication Failed,0.5547,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000008,605.51,Authentication Failed,0.4089,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000009,709.45,Expired Card,0.2544,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000012,2340.11,Network Error,0.7297,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000015,1979.84,Expired Card,0.1721,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000017,2036.44,Bank Timeout,0.7431,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000022,856.31,Authentication Failed,0.4796,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
TXN000024,534.55,Expired Card,0.2008,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True,SIMULATED,COMPLETED,2026-09-04 11:28:13,,,,,,,,,
