transaction_id,amount,failure_reason,ml_recovery_probability,ai_recommended_action,approved_action,guardrail_reason,simulated_recovery_probability,simulated_recovered
TXN000002,981.8,Authentication Failed,0.4246,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000003,1370.91,Expired Card,0.2343,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000004,2461.22,Authentication Failed,0.5547,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,True
TXN000008,605.51,Authentication Failed,0.4089,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False
TXN000009,709.45,Expired Card,0.2544,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,False
TXN000012,2340.11,Network Error,0.7297,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.8,True
TXN000015,1979.84,Expired Card,0.1721,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000017,2036.44,Bank Timeout,0.7431,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000022,856.31,Authentication Failed,0.4796,ADDITIONAL_AUTHENTICATION,ADDITIONAL_AUTHENTICATION,Authentication must be completed before retrying.,0.7,False
TXN000024,534.55,Expired Card,0.2008,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000028,863.33,Network Error,0.7814,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000029,583.24,Network Error,0.5054,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000033,625.38,Expired Card,0.1376,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000034,843.76,Network Error,0.7246,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000035,353.44,Expired Card,0.147,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,Expired card requires a new payment method.,0.4,True
TXN000040,495.68,Bank Timeout,0.5818,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000041,940.22,Insufficient Funds,0.4065,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000045,542.12,Authentication Failed,0.4826,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.05,False
TXN000047,317.18,Expired Card,0.1389,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000050,540.01,Network Error,0.7027,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000051,1315.49,Bank Timeout,0.7706,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,False
TXN000055,1797.43,Bank Timeout,0.501,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.08,True
TXN000056,2903.45,Expired Card,0.0884,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000061,547.79,Network Error,0.6738,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.1,False
TXN000065,1809.01,Insufficient Funds,0.6438,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
TXN000068,1982.81,Insufficient Funds,0.5502,DO_NOT_RETRY,DO_NOT_RETRY,Maximum retry limit reached.,0.0,False
TXN000079,590.95,Bank Timeout,0.7373,RETRY_NOW,RETRY_NOW,AI recommendation approved.,0.78,True
TXN000080,907.37,Insufficient Funds,0.5461,UPDATE_PAYMENT_METHOD,UPDATE_PAYMENT_METHOD,AI recommendation approved.,0.6,False
